ticker,name,exchange
A,Agilent Technologies,XNYS
AAPL,Apple Inc.,XNAS
ABBV,AbbVie,XNYS
ABNB,Airbnb,XNAS
ABT,Abbott Laboratories,XNYS
ACGL,Arch Capital Group,XNYS
ACN,Accenture,XNYS
ADBE,Adobe Inc.,XNAS
ADI,Analog Devices,XNAS
ADM,Archer Daniels Midland,XNYS
ADP,Automatic Data Processing,XNAS
ADSK,Autodesk,XNAS
AEE,Ameren,XNYS
AEP,American Electric Power,XNYS
AES,AES Corporation,XNYS
AFL,Aflac,XNYS
AIG,American International Group,XNYS
AIZ,Assurant,XNYS
AJG,Arthur J. Gallagher & Co.,XNYS
AKAM,Akamai Technologies,XNAS
ALB,Albemarle Corporation,XNAS
ALGN,Align Technology,XNAS
ALL,Allstate,XNYS
ALLE,Allegion,XNYS
AMAT,Applied Materials,XNAS
AMCR,Amcor,XNYS
AMD,Advanced Micro Devices,XNAS
AME,Ametek,XNYS
AMGN,Amgen,XNAS
AMP,Ameriprise Financial,XNYS
AMT,American Tower,XNYS
AMZN,Amazon,XNAS
ANET,Arista Networks,XNAS
AON,Aon plc,XNYS
AOS,A. O. Smith,XNYS
APA,APA Corporation,XNYS
APD,Air Products,XNYS
APH,Amphenol,XNYS
APO,Apollo Global Management,XNYS
APP,AppLovin,XNAS
APTV,Aptiv,XNYS
ARE,Alexandria Real Estate Equities,XNYS
ARES,Ares Management,XNYS
ATO,Atmos Energy,XNYS
AVB,AvalonBay Communities,XNYS
AVGO,Broadcom,XNAS
AVY,Avery Dennison,XNYS
AWK,American Water Works,XNYS
AXON,Axon Enterprise,XNAS
AXP,American Express,XNYS
AZO,AutoZone,XNAS
BA,Boeing,XNYS
BAC,Bank of America,XNYS
BALL,Ball Corporation,XNYS
BAX,Baxter International,XNYS
BBY,Best Buy,XNYS
BDX,Becton Dickinson,XNYS
BEN,Franklin Resources,XNYS
BF.B,Brown–Forman,XNYS
BG,Bunge Global,XNYS
BIIB,Biogen,XNAS
BKNG,Booking Holdings,XNAS
BKR,Baker Hughes,XNYS
BLDR,Builders FirstSource,XNAS
BLK,BlackRock,XNYS
BMY,Bristol Myers Squibb,XNYS
BNY,BNY Mellon,XNYS
BR,Broadridge Financial Solutions,XNAS
BRK.B,Berkshire Hathaway,XNYS
BRO,Brown & Brown,XNAS
BSX,Boston Scientific,XNYS
BX,Blackstone Inc.,XNYS
BXP,"BXP, Inc.",XNYS
C,Citigroup,XNYS
CAG,Conagra Brands,XNYS
CAH,Cardinal Health,XNYS
CARR,Carrier Global,XNYS
CASY,Casey's,XNYS
CAT,Caterpillar Inc.,XNYS
CB,Chubb Limited,XNYS
CBOE,Cboe Global Markets,XNAS
CBRE,CBRE Group,XNYS
CCI,Crown Castle,XNYS
CCL,Carnival Corporation,XNYS
CDNS,Cadence Design Systems,XNAS
CDW,CDW Corporation,XNAS
CEG,Constellation Energy,XNAS
CF,CF Industries,XNYS
CFG,Citizens Financial Group,XNYS
CHD,Church & Dwight,XNYS
CHRW,C.H. Robinson,XNAS
CHTR,Charter Communications,XNAS
CI,Cigna,XNYS
CIEN,Ciena,XNYS
CINF,Cincinnati Financial,XNAS
CL,Colgate-Palmolive,XNYS
CLX,Clorox,XNYS
CMCSA,Comcast,XNAS
CME,CME Group,XNYS
CMG,Chipotle Mexican Grill,XNAS
CMI,Cummins,XNYS
CMS,CMS Energy,XNYS
CNC,Centene Corporation,XNYS
CNP,CenterPoint Energy,XNYS
COF,Capital One,XNYS
COHR,Coherent Corp.,XNAS
COIN,Coinbase,XNAS
COO,Cooper Companies (The),XNYS
COP,ConocoPhillips,XNYS
COR,Cencora,XNYS
COST,Costco,XNAS
CPAY,Corpay,XNAS
CPB,Campbell's Company (The),XNYS
CPRT,Copart,XNAS
CPT,Camden Property Trust,XNYS
CRH,CRH plc,XNYS
CRL,Charles River Laboratories,XNAS
CRM,Salesforce,XNYS
CRWD,CrowdStrike,XNAS
CSCO,Cisco,XNAS
CSGP,CoStar Group,XNAS
CSX,CSX Corporation,XNYS
CTAS,Cintas,XNAS
CTSH,Cognizant,XNAS
CTVA,Corteva,XNYS
CVNA,Carvana,XNYS
CVS,CVS Health,XNYS
CVX,Chevron Corporation,XNYS
D,Dominion Energy,XNYS
DAL,Delta Air Lines,XNYS
DASH,DoorDash,XNAS
DD,DuPont,XNYS
DDOG,Datadog,XNAS
DE,Deere & Company,XNYS
DECK,Deckers Brands,XNAS
DELL,Dell Technologies,XNAS
DG,Dollar General,XNAS
DGX,Quest Diagnostics,XNYS
DHI,D. R. Horton,XNYS
DHR,Danaher Corporation,XNYS
DIS,Walt Disney Company (The),XNYS
DLR,Digital Realty,XNYS
DLTR,Dollar Tree,XNAS
DOC,Healthpeak Properties,XNYS
DOV,Dover Corporation,XNYS
DOW,Dow Inc.,XNYS
DPZ,Domino's,XNAS
DRI,Darden Restaurants,XNYS
DTE,DTE Energy,XNYS
DUK,Duke Energy,XNYS
DVA,DaVita,XNYS
DVN,Devon Energy,XNYS
DXCM,Dexcom,XNAS
EA,Electronic Arts,XNAS
EBAY,eBay Inc.,XNAS
ECL,Ecolab,XNYS
ED,Consolidated Edison,XNYS
EFX,Equifax,XNYS
EG,Everest Group,XNYS
EIX,Edison International,XNYS
EL,Estée Lauder Companies (The),XNYS
ELV,Elevance Health,XNYS
EME,Emcor,XNYS
EMR,Emerson Electric,XNYS
EOG,EOG Resources,XNYS
EPAM,EPAM Systems,XNAS
EQIX,Equinix,XNAS
EQR,Equity Residential,XNYS
EQT,EQT Corporation,XNYS
ERIE,Erie Indemnity,XNAS
ES,Eversource Energy,XNYS
ESS,Essex Property Trust,XNYS
ETN,Eaton Corporation,XNYS
ETR,Entergy,XNYS
EVRG,Evergy,XNYS
EW,Edwards Lifesciences,XNYS
EXC,Exelon,XNAS
EXE,Expand Energy,XNYS
EXPD,Expeditors International,XNAS
EXPE,Expedia Group,XNAS
EXR,Extra Space Storage,XNYS
F,Ford Motor Company,XNYS
FANG,Diamondback Energy,XNAS
FAST,Fastenal,XNAS
FCX,Freeport-McMoRan,XNYS
FDS,FactSet,XNAS
FDX,FedEx,XNYS
FE,FirstEnergy,XNYS
FFIV,"F5, Inc.",XNAS
FICO,Fair Isaac,XNAS
FIS,Fidelity National Information Services,XNYS
FISV,Fiserv,XNAS
FITB,Fifth Third Bancorp,XNAS
FIX,Comfort Systems USA,XNAS
FOX,Fox Corporation (Class B),XNAS
FOXA,Fox Corporation (Class A),XNAS
FRT,Federal Realty Investment Trust,XNYS
FSLR,First Solar,XNAS
FTNT,Fortinet,XNAS
FTV,Fortive,XNYS
GD,General Dynamics,XNYS
GDDY,GoDaddy,XNAS
GE,GE Aerospace,XNYS
GEHC,GE HealthCare,XNAS
GEN,Gen Digital,XNAS
GEV,GE Vernova,XNYS
GILD,Gilead Sciences,XNAS
GIS,General Mills,XNYS
GL,Globe Life,XNYS
GLW,Corning Inc.,XNYS
GM,General Motors,XNYS
GNRC,Generac,XNAS
GOOG,Alphabet Inc. (Class C),XNAS
GOOGL,Alphabet Inc. (Class A),XNAS
GPC,Genuine Parts Company,XNYS
GPN,Global Payments,XNYS
GRMN,Garmin,XNAS
GS,Goldman Sachs,XNYS
GWW,W. W. Grainger,XNAS
HAL,Halliburton,XNYS
HAS,Hasbro,XNAS
HBAN,Huntington Bancshares,XNAS
HCA,HCA Healthcare,XNYS
HD,Home Depot (The),XNYS
HIG,Hartford (The),XNYS
HII,Huntington Ingalls Industries,XNYS
HLT,Hilton Worldwide,XNYS
HON,Honeywell,XNAS
HOOD,Robinhood Markets,XNAS
HPE,Hewlett Packard Enterprise,XNAS
HPQ,HP Inc.,XNAS
HRL,Hormel Foods,XNYS
HSIC,Henry Schein,XNYS
HST,Host Hotels & Resorts,XNAS
HSY,Hershey Company (The),XNYS
HUBB,Hubbell Incorporated,XNAS
HUM,Humana,XNYS
HWM,Howmet Aerospace,XNYS
IBKR,Interactive Brokers,XNYS
IBM,IBM,XNAS
ICE,Intercontinental Exchange,XNYS
IDXX,Idexx Laboratories,XNAS
IEX,IDEX Corporation,XNAS
IFF,International Flavors & Fragrances,XNYS
INCY,Incyte,XNAS
INTC,Intel,XNAS
INTU,Intuit,XNAS
INVH,Invitation Homes,XNYS
IP,International Paper,XNYS
IQV,IQVIA,XNYS
IR,Ingersoll Rand,XNAS
IRM,Iron Mountain,XNAS
ISRG,Intuitive Surgical,XNAS
IT,Gartner,XNAS
ITW,Illinois Tool Works,XNYS
IVZ,Invesco,XNYS
J,Jacobs Solutions,XNYS
JBHT,J.B. Hunt,XNAS
JBL,Jabil,XNAS
JCI,Johnson Controls,XNYS
